Property: Property Name,Prop City,Prop County,Last Sale,Last Price,Est. Sale Cap,Units,# 1 Bedrooms,# 2 Bedrooms,# 3 Bedrooms,Square Footage,Year Built,Prop Zip Code
1740 35th Ave,Oakland,Alameda,2/11/2013,305000,14.86,5,1,1,0,2857,1940,94601
8500 International Blvd,Oakland,Alameda,8/29/2014,797000,14.79,13,5,5,0,6904,1933,94621
510 N 2nd St,San Jose,Santa Clara,4/9/2015,770000,14.72,9,9,0,0,2685,1907,95112
4230 Carrington St,Oakland,Alameda,12/18/2013,370000,14.7,6,2,0,0,3776,,94601
1134-1142 International Blvd,Oakland,Alameda,10/14/2013,420000,14.68,6,2,4,0,3820,1906,94606
833-881 Jamestown Ave,San Francisco,San Francisco,11/30/2012,29000000,14.65,121,35,35,35,104000,2013,94124
1560 Michigan Ave,Alviso,Santa Clara,9/21/2012,365000,14.62,4,1,2,1,3114,1983,95002
3768-3770 Brookdale Ave,Oakland,Alameda,4/3/2013,500000,14.51,8,8,0,0,10576,1941,94619
6400 Macarthur Blvd,Oakland,Alameda,12/31/2013,875000,14.51,14,9,4,0,11630,1964,94605
1530 Mcallister St,San Francisco,San Francisco,5/18/2015,800000,14.48,6,3,3,0,6390,1915,94115
1030 N San Joaquin St,Stockton,San Joaquin,7/3/2013,325000,14.4,10,10,0,0,5519,1971,95202
2120-2124 24th St,San Francisco,San Francisco,1/14/2014,439000,14.39,6,3,3,0,5014,,94107
106 International Blvd,Oakland,Alameda,7/19/2012,501000,14.36,7,3,1,0,6267,1905,94606
3208-3214 San Leandro St,Oakland,Alameda,5/8/2015,675000,14.21,8,5,0,0,4520,1918,94601
1423 57th Ave,Oakland,Alameda,6/28/2012,320000,14.17,5,0,2,2,6150,1965,94621
1566 Guerrero St,San Francisco,San Francisco,8/28/2012,373000,14.12,5,4,0,0,3594,1923,94110
20325 Concord Ave,Hayward,Alameda,11/15/2012,270000,14.08,5,0,5,0,3112,1948,94541
121 Healdsburg Ave,Cloverdale,Sonoma,10/31/2012,1900000,14.01,15,6,5,4,14778,2006,95425
2752 Kollmar Dr,San Jose,Santa Clara,6/12/2015,1350500,13.99,17,16,1,0,17646,1959,95127
