Property Address,Property City,Property Zip Code,Sale Date,Sale_Price,PropertyType,Cap_Rate,Bldg SF,Floor Area Ratio,Building Class,Building Condition,BuildingMaterials,Year Built,Number Of Units,Longitude,Latitude
700 Lincoln Village Cir,Larkspur,94939,7/25/2007,94500000,Multi-Family,4.28,293198,0.397103239,B,Other,WoodFrame,1978,342,-122.5072564,37.9474726
1 Amberstone Ln,San Ramon,94582,5/4/2007,64300000,Multi-Family,4,237894,0.603457985,B,Other,WoodFrame,2004,250,-121.906034,37.765747
5004 Hartnett Ave,Richmond,94804,7/6/2007,48443500,Multi-Family,5.5,408500,0.38719535,B,Good,Unknown,1968,378,-122.324281,37.9169489
7800 El Camino Real,Colma,94014,9/20/2007,44000000,Multi-Family,4.83,221000,2.402226135,A,Other,ReinforcedConcrete,2005,153,-122.4644664,37.6847983
2795 San Leandro Blvd,San Leandro,94578,8/2/2007,28458000,Multi-Family,4.5,133974,0.616357815,C,Other,Masonry,1974,186,-122.143928,37.715303
448 Toyon Ave,San Jose,95127,4/17/2007,25200000,Multi-Family,4.9,163780,0.576491211,C,Other,WoodFrame,1986,144,-121.8271285,37.3828324
707 Leahy St,Redwood City,94061,4/3/2007,23000000,Multi-Family,4.43,93000,1.016660108,A,Other,WoodFrame,1973,110,-122.215375,37.469995
2020 Southwest Expy,San Jose,95126,8/30/2007,19500000,Multi-Family,4.89,94752,0.587736873,C,Other,WoodFrame,1968,130,-121.927472,37.299837
701 Taylor St,San Francisco,94108,7/23/2007,13500000,Multi-Family,4,34589,4.179434509,B,Other,Masonry,1918,60,-122.412263,37.789013
1101 N Camino Alto,Vallejo,94589,1/11/2007,12300000,Multi-Family,3.5,78000,0.320328542,B,Other,WoodFrame,1986,80,-122.245435,38.129046
1212 Whipple Ave,Redwood City,94062,8/30/2007,12025000,Multi-Family,4.5,97000,2.100794837,C,Other,WoodFrame,1962,114,-122.2422012,37.4889875
1531-1611 Adelaide St,Concord,94520,8/9/2007,12000000,Multi-Family,5.02,109876,1.083974587,C,Other,WoodFrame,1963,96,-122.0404288,37.9693087
565 Arastradero Rd,Palo Alto,94306,8/17/2007,11050000,Multi-Family,5.65,42267,0.866357841,C,Other,WoodFrame,1964,44,-122.124039,37.408642
2200 Curtner Ave,San Jose,95124,6/13/2007,10200000,Multi-Family,4.46,58958,0.656116805,B,Other,Unknown,1964,89,-121.938958,37.271712
9200 Alcosta Blvd,San Ramon,94583,2/20/2007,10200000,Multi-Family,4.51,42100,0.449738276,B,Other,WoodFrame,1969,60,-121.928779,37.73068
2081 Whitman Way,San Bruno,94066,9/11/2007,9125000,Multi-Family,4.9,44595,0.799824234,C,Other,WoodFrame,1964,49,-122.4269221,37.6179326
4401 Central Ave,Fremont,94536,2/20/2007,8450000,Multi-Family,5.47,51160,0.559272377,C,Other,WoodFrame,1965,62,-122.008428,37.551337
1654-1660 Hollenbeck Ave,Sunnyvale,94087,9/11/2007,7850000,Multi-Family,5.5,37216,0.625952401,C,Other,WoodFrame,1964,40,-122.0407079,37.3392492
947 Bush St,San Francisco,94109,7/24/2007,7500000,Multi-Family,6.88,31046,4.153866738,B,Other,Unknown,1910,53,-122.4127061,37.7893962
1035 Pine St,San Francisco,94109,5/3/2007,7500000,Multi-Family,3.74,34300,5.790006752,B,Other,Masonry,1924,38,-122.4129833,37.7903625
775 Geary St,San Francisco,94109,5/3/2007,7500000,Multi-Family,5.6,30660,4.630720435,B,Other,Unknown,1923,36,-122.4159901,37.7861292
1441 Casa Buena Dr,Corte Madera,94925,8/29/2007,7400000,Multi-Family,4.6,30480,0.201071325,C,Other,WoodFrame,1961,32,-122.512198,37.917296
