"Property: ID","Property: Property Name","City","Zip Code","Prop Sale GRM","Square Footage","Last Price"
"a0F1a000001xiDe","5800 Walnut St","Oakland","94605","8.02","9123","1729500.00"
"a0F1a000000p2Lk","3201 Beaumont Ave","Oakland","94602","7.17","13309","1400000.00"
"a0F1a000000p2MF","27436 Manon","Hayward","94544","8.22","15840","3134000.00"
"a0F1a000000pAOZ","54-60 Salmon St","San Francisco","94133","11.00","3660","950000.00"
"a0F1a000000pAMy","2265 Larkin St","San Francisco","94109","12.00","13650","4650000.00"
"a0F1a000000pAN8","248 Taylor St","San Francisco","94102","8.34","14400","2530000.00"
"a0F1a000000pANK","2050 Powell St","San Francisco","94133","14.70","8594","3395000.00"
"a0F1a000000p7Fg","4819 Clayton Rd","Concord","94521","8.90","15620","3750000.00"
"a0F1a000000p7Fx","2737 Humboldt Ave","Oakland","94602","6.00","9647","875000.00"
"a0F1a000000p78c","1305 Everett Ave","Oakland","94602","11.45","5620","1475000.00"
"a0F1a000000p78d","16-32 Avon St","Napa","94558","13.21","4500","540000.00"
"a0F1a000000p793","968 Addison St","Berkeley","94710","8.42","11672","2535000.00"
"a0F1a000000p75s","2045 Camel Ln","Walnut Creek","94596","12.31","4421","1030000.00"
"a0F1a000000p75z","1521-1523 Fairview St","Berkeley","94703","10.75","4396","1020000.00"
"a0F1a000000p769","501 38th Ave","San Francisco","94121","10.89","15150","2980000.00"
"a0F1a000000p792","966-968 Washington St","San Francisco","94108","15.57","3673","1300000.00"
"a0F1a000000p7wA","2272 Telegraph Ave","Oakland","94612","11.10","3400","737000.00"
"a0F1a000000p3jz","1625 Central Ave","Alameda","94501","14.00","8597","1625000.00"
"a0F1a000000p76j","1410 Creekside Dr","Walnut Creek","94596","12.02","25786","5000000.00"
"a0F1a000000p6gh","2186 California St","San Francisco","94115","12.05","11500","3290625.00"
"a0F1a000000p2Gv","1152 Regent St","Alameda","94501","13.59","7644","1660000.00"
"a0F1a000000p7CS","3653-3659 Walnut St","Lafayette","94549","10.82","4570","1380000.00"
"a0F1a000000p9YW","1120 Union St","San Francisco","94109","14.65","15060","4800000.00"
"a0F1a000000p9hR","865 North Point St","San Francisco","94109","14.00","4718","1470000.00"
"a0F1a000000pA4w","1930 Sacramento St","San Francisco","94109","13.00","19668","6100000.00"
"a0F1a000000pDVK","2143 Brown St","Napa","94559","8.94","3312","515000.00"
"a0F1a000000p9Xb","40 Cervantes Blvd","San Francisco","94123","21.00","8100","3665000.00"
"a0F1a000000pA38","5140-5150 Geary Blvd","San Francisco","94118","9.40","11880","2800000.00"
"a0F1a000000p3eP","2020 Santa Clara Ave","Alameda","94501","10.40","34940","6235000.00"
"a0F1a000000p2Qc","1536 Oxford St","Berkeley","94709","19.60","8892","3000712.00"
"a0F1a000000p2JQ","2335 Market ST","Oakland","94607","9.34","10869","1325000.00"
"a0F1a000000p29Y","1760 Filbert St","San Francisco","94123","11.60","9680","5200000.00"
"a0F1a000000p9Tx","808 Leavenworth St","San Francisco","94109","10.29","17760","5475000.00"
"a0F1a000000p5nO","2057 Central Ave","Alameda","94501 -42","9.77","5482","693000.00"
"a0F1a000000pGM6","2605 Haste St","Berkeley","94704","11.68","17000","4260000.00"
"a0F1a000000pA7R","3500 Fulton St","San Francisco","94118","12.00","9195","2280000.00"
"a0F1a000000pAJA","1040 Leavenworth St","San Francisco","94109","11.90","26886","1933500.00"
"a0F1a000000pGMF","3200 California St","Berkeley","94703","4.76","7554","3300000.00"
"a0F1a000000pAGb","765 Sutter St","San Francisco","94109","10.68","17680","4000000.00"
