Address,Type,SaleDate,SalePrice,GRM,Cap,PricePerSF,PricePerUnit,BldgSF,NumberOfUnits,Age,BuildingCondition,BuildingClass,BuildingMaterials,Latitude,Longitude,1Bedrooms,2Bedrooms,3Bedrooms,Floors,ZipCode,Rating,Vacancy,Zoning,SaleCondition,YearBuilt
3400 Richmond Pky,Multi-Family,5/11/2005,114500000,,5.89,128.33,113591,892224,1008,30,Good,A,Steel,37.9858735,-122.3261157,481,527,0,4,94806,3 Star,0,N/Av,1031 Exchange,1987
3400 Richmond Pky,Multi-Family,6/1/2011,140500000,,6.12,157.47,139385,892224,1008,30,Good,A,Steel,37.9858735,-122.3261157,480,528,0,4,94806,3 Star,0,N/Av,,1987
4170 Springlake Dr,Multi-Family,10/28/2011,110000000,,5.5,179.57,130952,612576,840,45,Good,C,Wood Frame,37.6931647,-122.1332736,456,176,0,2,94578,2 Star,0,RM-1800,,1972
1001-1101 Park Pl (Part of Portfolio),Multi-Family,2/27/2013,,,,,,520000,575,14,Good,B,Reinforced Concrete,37.5459456,-122.2912011,306,231,38,3,94403,4 Star,0,N/Av,Bulk/Portfolio Sale,2003
39600 Fremont Blvd,Multi-Family,5/2/2000,55000000,,7.42,127.23,104563,432290,526,42,Good,C,,37.545906,-121.978845,300,0,0,3,94538,2 Star,0,RGX13.78,,1975
1-249 Marina Lakes Dr,Multi-Family,12/21/2004,98500000,,3.96,247.31,210470,398292,468,25,Good,A,Wood Frame,37.913168,-122.342804,252,216,0,3,94804,4 Star,0,PA,Condo Conversion,1992
1919 Fruitdale Ave,Multi-Family,11/30/2016,96000000,,4.5,379.3,290030,253098,331,47,Good,B,Wood Frame,37.311212,-121.926348,251,38,6,3,95128,3 Star,0,R4,,1970
1 Saint Francis Pl (Part of Portfolio),Multi-Family,6/6/2012,,,,,,390465,410,30,Good,B,Reinforced Concrete,37.783884,-122.397727,244,124,2,10,94107,4 Star,0,M-1,Bulk/Portfolio Sale,1987
1 Saint Francis Pl (Part of Portfolio),Multi-Family,1/20/2012,,,,,,390465,410,30,Good,B,Reinforced Concrete,37.783884,-122.397727,244,124,2,10,94107,4 Star,0,M-1,Bulk/Portfolio Sale,1987
1 Saint Francis Pl (Part of Portfolio),Multi-Family,2/27/2013,,,,,,390465,410,30,Good,B,Reinforced Concrete,37.783884,-122.397727,244,124,2,10,94107,4 Star,0,M-1,Bulk/Portfolio Sale,1987
1000 Pheasant Dr,Multi-Family,6/16/2005,72500000,,5.1,159.37,133764,454912,542,29,Good,B,Wood Frame,37.993965,-121.896563,240,302,0,1,94565,3 Star,0,H/PD,,1988
4800 Tassajara Rd,Multi-Family,9/8/2009,79700000,10.84,6.6,163.7,204359,486856,390,14,Good,B,Wood Frame,37.709021,-121.872979,229,161,0,4,94568,4 Star,0,PD,,2003
5650 Owens Dr (Part of Portfolio),Multi-Family,2/27/2013,,,,,,713970,540,17,Good,C,Wood Frame,37.694576,-121.886134,228,228,84,3,94588,3 Star,2.04,0,Bulk/Portfolio Sale,2000
5650 Owens Dr (Part of Portfolio),Multi-Family,6/6/2012,,,,,,713970,540,17,Good,C,Wood Frame,37.694576,-121.886134,228,228,84,3,94588,3 Star,2.04,0,Bulk/Portfolio Sale,2000
3055 La Selva,Multi-Family,11/29/2005,45000000,10.2,5.21,145.81,156250,308631,288,46,Good,C,Wood Frame,37.5441476,-122.283781,226,60,2,3,94403,2 Star,0,R4,,1971
1401 Red Hawk Cir (Part of Portfolio),Multi-Family,4/1/2014,,,,,,404034,453,22,Excellent,B,Wood Frame,37.555699,-121.967727,225,219,9,3,94538,3 Star,0,P,Bulk/Portfolio Sale,1995
2201 San Jose Dr,Multi-Family,9/15/2015,39150000,,5,223.71,139821,175000,280,31,Good,B,Wood Frame,38.002245,-121.834404,216,64,0,2,94509,3 Star,0,0,Debt Assumption,1986
5650 Owens Dr (Part of Portfolio),Multi-Family,1/20/2012,,,,,,713970,540,17,Good,C,Wood Frame,37.694576,-121.886134,200,200,140,3,94588,3 Star,2.04,0,Bulk/Portfolio Sale,2000
2490 Lancaster Dr,Multi-Family,3/7/2014,40000000,,,189.95,99751,210580,401,47,Good,C,Masonry,37.975291,-122.33804,200,0,0,3,94806,3 Star,0,0,,1970
2235 3rd St (Part of Multi-Property Sale),Multi-Family,12/28/2011,79366426,,,327.71,404930,242185,196,5,Good,B,Reinforced Concrete,37.7612178,-122.3880868,196,0,0,4,94107,4 Star,0,M2,Ground Lease ,2012
1515 Lakeside Dr,Multi-Family,2/20/2003,19000000,7.38,7.74,129.15,97436,147116,195,35,Good,B,Steel,37.802205,-122.262492,195,0,0,15,94612,3 Star,0,R90-S4/S17,1031 Exchange,1982
215 W MacArthur Blvd,Multi-Family,3/30/2012,22425000,,6.24,116.12,89700,193118,250,43,Good,B,Reinforced Concrete,37.8228158,-122.2568933,193,24,0,5,94611,3 Star,0,R50,,1974
5505 Springhouse Dr,Multi-Family,8/5/2016,130000000,,4.15,292.77,367232,444042,354,34,Good,B,Wood Frame,37.690067,-121.882997,192,162,0,3,94588,4 Star,0,PUD-HDR,1031 Exchange,1983
5505 Springhouse Dr,Multi-Family,11/9/2009,51000000,,6.76,114.85,144068,444042,354,34,Good,B,Wood Frame,37.690067,-121.882997,192,162,0,3,94588,4 Star,0,PUD-HDR,,1983
5505 Springhouse Dr,Multi-Family,6/19/2003,49600000,10.61,5.73,111.7,140113,444042,354,34,Good,B,Wood Frame,37.690067,-121.882997,192,162,0,3,94588,4 Star,0,PUD-HDR,,1983
33 Union Sq. (Part of Portfolio),Multi-Family,4/1/2014,,,,,,199152,282,28,Good,B,,37.58886,-122.018025,186,48,0,3,94587,3 Star,0,CBD,Bulk/Portfolio Sale,1989
39410 Civic Center Dr,Multi-Family,6/30/2006,79600000,,4.68,192.35,247205,413836,322,14,Good,B,Wood Frame,37.5538743,-121.9742634,182,113,9,4,94538,4 Star,0,P-99-3,1031 Exchange,2003
25800 Industrial Blvd,Multi-Family,6/8/2012,86500000,,6,187.97,159007,460189,544,31,Good,B,Masonry,37.638145,-122.113249,181,363,0,2,94545,3 Star,0,N/A,,1986
39410 Civic Center Dr (Part of Portfolio),Multi-Family,1/20/2012,,,,,,413836,321,14,Good,B,Wood Frame,37.5538743,-121.9742634,180,80,61,4,94538,4 Star,0,P-99-3,Bulk/Portfolio Sale,2003
39410 Civic Center Dr (Part of Portfolio),Multi-Family,6/6/2012,,,,,,413836,321,14,Good,B,Wood Frame,37.5538743,-121.9742634,180,80,61,4,94538,4 Star,0,P-99-3,Bulk/Portfolio Sale,2003
39451 Gallaudet Dr (Part of Portfolio),Multi-Family,4/1/2014,,,,,,298667,336,28,Good,B,Wood Frame,37.5569007,-121.9633806,168,168,0,3,94538,3 Star,0,0,Bulk/Portfolio Sale,1989
39410 Civic Center Dr (Part of Portfolio),Multi-Family,2/27/2013,,,,,,413836,322,14,Good,B,Wood Frame,37.5538743,-121.9742634,166,145,11,4,94538,4 Star,0,P-99-3,Bulk/Portfolio Sale,2003
2717 S Norfolk St (Part of Portfolio),Multi-Family,4/1/2014,,,,,,223972,308,29,Good,C,Wood Frame,37.548135,-122.285876,164,144,0,2,94403,3 Star,0,R3,Bulk/Portfolio Sale,1988
3500 Edison St,Multi-Family,9/13/2006,97300000,9.7,5.39,149,139799,653000,696,69,Good,C,Reinforced Concrete,37.5349513,-122.3006796,156,395,73,3,94403,3 Star,0,0,1031 Exchange,1948
241 Jones St,Multi-Family,3/16/2001,2972500,7.74,7.7,123.85,19817,24000,150,89,Good,C,,37.7834897,-122.4129667,149,1,0,7,94102,2 Star,0,C3,Deed Restriction,1928
3600 Sierra Ridge Rd,Multi-Family,8/29/2014,38800000,,6.31,218.92,161667,177234,241,27,Good,B,Wood Frame,37.9871174,-122.3205093,145,96,0,3,94806,4 Star,0,M3,1031 Exchange,1990
2751 Monument Blvd,Multi-Family,4/19/2016,45000000,,5.57,197.34,152027,228032,296,44,Good,B,Wood Frame,37.964185,-122.034855,144,112,40,2,94520,3 Star,0.34,M18,1031 Exchange,1973
1058 S Winchester Blvd,Multi-Family,2/1/2005,24400000,12.05,4.73,152.12,138636,160400,176,40,Good,B,Wood Frame,37.307621,-121.949378,144,32,0,3,95128,3 Star,0,APD,,1977
400 Springlake Dr,Multi-Family,12/17/2010,12000000,,8,96.45,83333,124418,144,36,Good,C,Wood Frame,37.6942154,-122.1385035,142,2,0,3,94578,2 Star,0,RM-1800 (PD),,1981
1655 Galindo St (Part of Portfolio),Multi-Family,3/21/2013,75933000,,,309.26,293177,245532,259,14,Good,B,Reinforced Concrete,37.973393,-122.03384,140,107,12,4,94520,4 Star,0,0,Bulk/Portfolio Sale,2003
38000 Camden St,Multi-Family,6/27/2016,63000000,,4.5,391.56,328125,160894,196,48,Good,C,Wood Frame,37.5587368,-121.9951952,140,31,11,3,94536,2 Star,0,N/Av,,1969
889 Mowry Ave,Multi-Family,12/30/2016,74500000,,4.75,457.25,365196,162932,204,44,Good,B,Masonry,37.5669235,-121.9765583,136,68,0,2,94536,3 Star,1.47,0,,1973
889 Mowry Ave,Multi-Family,1/31/2008,40300000,,4.5,247.34,197549,162932,204,44,Good,B,Masonry,37.5669235,-121.9765583,136,68,0,2,94536,3 Star,1.47,0,,1973
5095 Haven Pl (Part of Portfolio),Multi-Family,1/20/2012,,,,,,425541,324,17,Good,B,Masonry,37.706612,-121.887284,132,144,48,3,94568,4 Star,2.47,0,Bulk/Portfolio Sale,2000
5095 Haven Pl (Part of Portfolio),Multi-Family,2/27/2013,,,,,,425541,324,17,Good,B,Masonry,37.706612,-121.887284,132,144,48,3,94568,4 Star,2.47,0,Bulk/Portfolio Sale,2000
5095 Haven Pl (Part of Portfolio),Multi-Family,6/6/2012,,,,,,425541,324,17,Good,B,Masonry,37.706612,-121.887284,132,144,48,3,94568,4 Star,2.47,0,Bulk/Portfolio Sale,2000
3185 Contra Loma Blvd,Multi-Family,11/25/2002,10330000,,7.5,103.97,66218,99360,156,26,Good,C,Masonry,37.991559,-121.821433,132,24,0,3,94509,2 Star,0,R3B4,,1991
5000 Owens Dr,Multi-Family,7/25/2006,41600000,12.24,4.59,246.3,196226,168898,212,29,Good,B,Wood Frame,37.692404,-121.883731,128,84,0,2,94588,3 Star,0,0,,1988
101-141 Embarcadero,Multi-Family,5/31/2011,64900000,,,210.85,230142,307808,282,16,Good,B,Masonry,37.792158,-122.271862,126,144,0,4,94607,4 Star,0,0,,2001
101-141 Embarcadero (Part of Portfolio),Multi-Family,4/1/2014,,,,,,307808,282,16,Good,B,Masonry,37.792158,-122.271862,126,144,0,4,94607,4 Star,0,0,Bulk/Portfolio Sale,2001
3200 Soscol Ave,Multi-Family,8/16/2005,45000000,12.21,4.82,256.66,225000,175328,200,13,Excellent,A,Reinforced Concrete,38.323398,-122.285623,126,74,0,3,94558,4 Star,0,N/Av,,2004
1459 Creekside Dr,Multi-Family,11/12/2010,48000000,,5.4,138.22,151899,347274,316,44,Good,B,Masonry,37.886345,-122.053311,125,93,0,3,94596,3 Star,3.8,M-H,Deferred Maintenance,1973
1389 Jefferson St,Multi-Family,9/5/2013,103241429,,4.62,411.32,391066,251000,252,6,Good,B,Steel,37.805698,-122.27571,123,88,13,6,94612,5 Star,0,0,,2011
3185 Garrity Way,Multi-Family,8/2/2010,32755000,,,120.84,163775,271056,200,13,Good,B,Reinforced Concrete,37.978771,-122.32172,120,80,0,3,94806,4 Star,0,N/Av,,2004
6399 Christie Ave (Part of Portfolio),Multi-Family,4/1/2014,,,,,,196896,224,10,Good,A,Masonry,37.8431943,-122.296964,117,84,9,4,94608,4 Star,0.6,M,Bulk/Portfolio Sale,2007
2301 Sycamore Dr,Multi-Family,4/29/2016,14100000,,6.7,52.31,75806,269567,186,44,Good,C,Wood Frame,38.003718,-121.832342,112,60,14,2,94509,2 Star,0,R,LIHTC,1973
36000 Fremont Blvd,Multi-Family,7/30/2004,18500000,9.46,6.38,154.03,108824,120110,170,47,Good,C,Masonry,37.56509,-122.02102,110,56,0,3,94536,2 Star,2.94,N/Av,1031 Exchange,1970
2360 Redwood Rd (Part of Portfolio),Multi-Family,6/1/2015,13244409,,,204.98,115168,105060,115,14,Good,B,Wood Frame,38.3202647,-122.3179452,109,6,0,3,94558,3 Star,0,RM,Bulk/Portfolio Sale,2003
1900 Strasbourg Ln (Part of Portfolio),Multi-Family,7/8/2016,10675000,,,99.77,99766,107000,107,35,Good,C,,38.0036564,-121.7769101,107,0,0,,94509,2 Star,0,0,Bulk/Portfolio Sale,1982
1325 40th St,Multi-Family,3/18/2015,45100000,,4,116.44,205000,387339,220,20,Good,B,Masonry,37.8298567,-122.283793,106,114,0,3,94608,4 Star,0,0,,1997
24660 Amador St,Multi-Family,11/30/2000,10000000,8.33,7.03,110.06,70423,90862,142,51,Good,B,Masonry,37.654388,-122.090427,105,37,0,2,94544,3 Star,0,RM,1031 Exchange,1966
24660 Amador St,Multi-Family,6/15/2000,8700000,8.11,6.73,95.75,61268,90862,142,51,Good,B,Masonry,37.654388,-122.090427,105,37,0,2,94544,3 Star,0,RM,,1966
1100-1128 E Leland Rd,Multi-Family,4/29/2016,37245500,,5.5,225.83,179065,164928,208,31,Good,B,Wood Frame,38.0086,-121.874258,104,104,0,2,94565,3 Star,0,R-3,1031 Exchange,1986
1100-1128 E Leland Rd,Multi-Family,3/12/2008,22000000,,5.99,133.39,105769,164928,208,31,Good,B,Wood Frame,38.0086,-121.874258,104,104,0,2,94565,3 Star,0,R-3,,1986
1100-1128 E Leland Rd,Multi-Family,3/14/2013,21250000,,6.3,128.84,102163,164928,208,31,Good,B,Wood Frame,38.0086,-121.874258,104,104,0,2,94565,3 Star,0,R-3,Debt Assumption,1986
22294 City Center Dr,Multi-Family,9/29/2016,97400000,,5.05,278.89,315210,349239,309,42,Good,C,Masonry,37.680413,-122.081883,103,103,0,3,94541,2 Star,0,Multifamily,,1975
22294 City Center Dr,Multi-Family,7/16/2013,52100500,,4,149.18,168610,349239,309,42,Good,C,Masonry,37.680413,-122.081883,103,103,0,3,94541,2 Star,0,Multifamily,,1975
4875 Mowry Ave,Multi-Family,11/20/2008,21500000,,5.7,198.62,142384,108249,151,45,Good,B,Wood Frame,37.537862,-121.998071,102,49,0,3,94538,3 Star,0,P,,1972
3185 Garrity Way,Multi-Family,5/11/2012,37000000,,5.5,136.5,185000,271056,200,13,Good,B,Reinforced Concrete,37.978771,-122.32172,100,100,0,3,94806,4 Star,0,N/Av,Debt Assumption,2004
3185 Garrity Way,Multi-Family,1/11/2011,13350938,,6.5,120.84,163775,271056,200,13,Good,B,Reinforced Concrete,37.978771,-122.32172,100,100,0,3,94806,4 Star,0,N/Av,Partial Interest Transfer,2004
1085 Murrieta Blvd,Multi-Family,8/31/2004,19530000,10.54,4.65,102.66,126818,190236,154,43,Good,B,Wood Frame,37.675433,-121.781176,98,56,0,3,94550,3 Star,0,0,Deferred Maintenance,1974
2205 E Leland Rd,Multi-Family,11/4/2014,32500000,,5.7,156.81,134298,207262,242,32,Good,C,Wood Frame,38.008736,-121.863072,96,146,0,2,94565,3 Star,0,P-C,Assemblage,1985
2795 San Leandro Blvd,Multi-Family,8/2/2007,28458000,,4.5,212.41,153000,133974,186,43,Good,C,Masonry,37.715303,-122.143928,93,61,0,2,94578,3 Star,0.54,R-M,1031 Exchange,1974
2795 San Leandro Blvd,Multi-Family,8/14/2003,17400000,7.68,7.09,129.88,93548,133974,186,43,Good,C,Masonry,37.715303,-122.143928,93,61,0,2,94578,3 Star,0.54,R-M,,1974
4000 S El Camino Real,Multi-Family,7/28/2010,18750000,,6.93,168.17,138889,111495,135,62,Good,B,Wood Frame,37.5319901,-122.2924289,93,42,0,2,94403,3 Star,0,C20000,Auction Sale,1955
1450 Creekside Dr,Multi-Family,2/13/2001,19062000,9.8,6.44,164.88,128797,115608,148,57,Good,C,Masonry,37.886752,-122.052604,92,56,0,2,94596,3 Star,0,RM1,Deferred Maintenance,1960
1450 Creekside Dr,Multi-Family,11/7/2000,15510000,9.2,6.24,134.16,104797,115608,148,57,Good,C,Masonry,37.886752,-122.052604,92,56,0,2,94596,3 Star,0,RM1,,1960
1390 Market St (Part of Portfolio),Multi-Family,1/20/2012,,,,,,276800,443,52,Good,A,Steel,37.7770348,-122.4176617,91,16,0,29,94102,4 Star,3.91,C3G,Bulk/Portfolio Sale,1965
1390 Market St (Part of Portfolio),Multi-Family,6/6/2012,,,,,,276800,443,52,Good,A,Steel,37.7770348,-122.4176617,91,16,0,29,94102,4 Star,3.91,C3G,Bulk/Portfolio Sale,1965
5300 Ironhorse Pky,Multi-Family,5/20/2013,105400000,,4.31,192.31,345574,548060,305,9,Good,A,Reinforced Concrete,37.704654,-121.8975384,90,160,30,5,94568,4 Star,0,0,,2008
6233 Dougherty Rd,Multi-Family,8/29/2014,62800000,,4.4,387.94,354802,161881,177,15,Good,B,Wood Frame,37.7080843,-121.9091638,89,76,12,3,94568,4 Star,3.95,PD,,2002
6233 Dougherty Rd,Multi-Family,7/3/2006,43750000,,6.43,270.26,247175,161881,177,15,Good,B,Wood Frame,37.7080843,-121.9091638,89,76,12,3,94568,4 Star,3.95,PD,,2002
1010 Power Ave,Multi-Family,6/14/2005,28860000,10.73,4.98,153.82,128839,187624,224,31,Good,B,Wood Frame,38.02111,-121.905342,88,136,0,2,94565,3 Star,0,P-C,,1986
1265-1271 Monument Blvd,Multi-Family,2/26/2016,20400000,,6.5,107.88,103030,189102,198,53,Good,B,Wood Frame,37.95075,-122.048368,86,98,14,2,94520,3 Star,0,0,Debt Assumption,1964
4000 S El Camino Real,Multi-Family,12/30/2016,46500000,,4.9,417.06,329787,111495,135,62,Good,B,Wood Frame,37.5319901,-122.2924289,85,50,0,2,94403,3 Star,0,C20000,,1955
520 Van Buren Ave,Multi-Family,3/14/2003,12250000,8.93,6.54,144.63,112385,84698,109,48,Good,C,Wood Frame,37.8117038,-122.2509432,84,21,4,5,94610,2 Star,3.67,R70/S12,,1969
